Year,Month,Power Source,Total Investment (rmb x 100 million yuan),Cumulative YOY Growth
2012,12,Wind,615,-31.8
2016,7,Nuclear,256,7.898294862
2012,7,All,1710,
2014,12,Wind,993,52.8
2013,10,Wind,392,
2014,7,Coal,421,
2009,11,Coal,1187,
2011,6,Coal,482,
2013,3,Coal,162,
2018,4,Nuclear,121,20.3
2016,3,Wind,102,-27.9
2013,7,Nuclear,300,
2017,5,All,766.997427,-15.09420201
2013,3,Hydro,248,
2009,9,Hydro,438,
2014,5,All,909,
2012,8,Wind,265,
2012,6,Nuclear,321,
2012,10,Wind,415,
2013,10,Nuclear,457,
2011,9,All,2428,
2010,12,All,3641,
2015,12,All,4091,11
2016,8,Coal,552,-10.67840984
2016,9,Coal,660,-8.364355814
2010,6,Wind,285,
2016,7,Wind,311,-34.18228026
2011,5,Nuclear,258,
2010,8,Coal,736,
2009,11,All,2827,
2013,5,All,1127,
2011,3,Nuclear,152,
2018,5,Hydro,191,13.4
2010,4,Wind,117,
2015,2,Hydro,96,-3.1
2013,6,Wind,186,
2012,11,All,3021,
2011,5,Coal,395,
2015,7,Coal,499,18.6
2016,3,All,464,-14.9
2014,11,All,2887,-6.2
2016,10,Coal,766.669156,-9.083625786
2016,12,Wind,896.207875,-25.33124179
2017,6,Wind,206.29253,-15.55486853
2017,9,All,1728.057,-13.12382126
2012,2,Nuclear,105,
2014,7,Hydro,387,
2010,8,Wind,460,
2018,8,Hydro,359,26
2012,6,Coal,401,
2016,4,All,662,-13.11933927
2014,6,Nuclear,238,
2017,9,Nuclear,295.5193,-10.26087488
2015,12,Hydro,782,-17
2013,10,All,2658,
2016,6,Coal,378,-6.411191413
2012,4,Hydro,348,
2014,3,All,473,
2015,10,Nuclear,368,-13.6
2011,11,Wind,642,
2010,4,Hydro,185,
2018,7,Nuclear,239,11.3
2015,12,Coal,1396,22
2015,10,All,2599,5.8
2010,11,Nuclear,541,
2018,11,All,2262,-2.9
2018,11,Wind,483,-16.2
2012,7,Nuclear,378,
2017,6,Coal,312.693437,-17.43184283
2017,4,Wind,91.354766,-36.36902159
2017,6,Hydro,214.222077,-5.50445046
2016,12,Hydro,612.464964,-22.38701547
2011,11,All,3093,
2018,2,Wind,43,15.7
2013,8,Nuclear,347,
2016,5,Wind,189,-29.63638898
2015,4,All,763,16.1
2013,7,All,1805,
2017,6,Nuclear,183.021816,-15.99095366
2016,9,Nuclear,329,-1.378828717
2011,7,Nuclear,381,
2018,4,Hydro,154,14.4
2013,5,Hydro,454,
2015,2,Nuclear,55,-10.3
2009,7,All,3552,
2018,3,Nuclear,127,61.1
2014,2,Nuclear,61,
2018,9,All,1696,-1.8
2018,10,All,1919,-2.9
2012,9,Coal,631,
2011,5,All,1166,
2013,6,Nuclear,263,
2010,6,Coal,500,
2010,10,Wind,640,
2012,4,Wind,132,
2016,8,Nuclear,287,1.55582559
2016,8,Wind,383,-32.85010707
2016,7,All,1453,-8.365093169
2014,5,Wind,182,
2010,12,Nuclear,629,
2011,2,All,367,
2016,9,Hydro,353,-20.4585427
2012,12,Nuclear,778,1.8
2017,9,Hydro,339.4205,-4.056888375
